SNI 2007;;
;;
Grupp (Officiell kodstruktur);Grupp;Benämning 
01.1;011;Odling av ett- och tvååriga växter
01.2;012;Odling av fleråriga växter
01.3;013;Odling av plantskoleväxter
01.4;014;Husdjursskötsel
01.5;015;Blandat jordbruk
01.6;016;Service till jordbruk och bearbetning av skördade växter
01.7;017;Jakt och service i anslutning härtill
02.1;021;Skogsförvaltning och skogsskötsel
02.2;022;Drivning
02.3;023;Insamling av annat vilt växande skogsmaterial än trä
02.4;024;Service till skogsbruk
03.1;031;Fiske
03.2;032;Vattenbruk
05.1;051;Stenkolsutvinning
05.2;052;Brunkolsutvinning
06.1;061;Utvinning av råpetroleum
06.2;062;Utvinning av naturgas
07.1;071;Järnmalmsutvinning
07.2;072;Utvinning av andra metallmalmer än järnmalm
08.1;081;Utvinning av sand, grus, sten och lera
08.9;089;Övrig utvinning av mineral
09.1;091;Stödtjänster till råpetroleum- och naturgasutvinning
09.9;099;Stödtjänster till annan utvinning
10.1;101;Beredning och hållbarhetsbehandling av kött och köttvaror
10.2;102;Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
10.3;103;Beredning och hållbarhetsbehandling av frukt, bär och grönsaker
10.4;104;Framställning av vegetabiliska och animaliska oljor och fetter
10.5;105;Mejerivaru- och glasstillverkning
10.6;106;Tillverkning av kvarnprodukter och stärkelse
10.7;107;Tillverkning av bageri- och mjölprodukter
10.8;108;Annan livsmedelsframställning
10.9;109;Framställning av beredda djurfoder
11.0;110;Framställning av drycker
12.0;120;Tobaksvarutillverkning
13.1;131;Garntillverkning
13.2;132;Vävnadstillverkning
13.3;133;Blekning, färgning och annan textilberedning
13.9;139;Annan textilietillverkning
14.1;141;Tillverkning av kläder, utom pälsvaror
14.2;142;Tillverkning av pälsvaror
14.3;143;Tillverkning av trikåvaror
15.1;151;"Garvning och annan läderberedning; tillverkning av reseffekter, handväskor, sadel- och seldon; pälsberedning"
15.2;152;Tillverkning av skodon
16.1;161;Sågning och hyvling av trä
16.2;162;Tillverkning av varor av trä, kork, halm, rotting o.d.
17.1;171;Massa-, pappers- och papptillverkning
17.2;172;Tillverkning av pappers- och pappvaror
18.1;181;Grafisk produktion
18.2;182;Reproduktion av inspelningar
19.1;191;Tillverkning av stenkolsprodukter
19.2;192;Petroleumraffinering
20.1;201;Tillverkning av baskemikalier, gödselmedel och kväveprodukter, plaster och syntetgummi i obearbetad form
20.2;202;Tillverkning av bekämpningsmedel och andra lantbrukskemiska produkter
20.3;203;Tillverkning av färg, lack, tryckfärg m.m.
20.4;204;Tillverkning av rengöringsmedel, parfym och toalettartiklar
20.5;205;Tillverkning av andra kemiska produkter
20.6;206;Konstfibertillverkning
21.1;211;Tillverkning av farmaceutiska basprodukter
21.2;212;Tillverkning av läkemedel
22.1;221;Tillverkning av gummivaror
