SNI 2007;;
;;
Undergrupp (Officiell kodstruktur);Undergrupp;Benämning 
01.11;0111;Odling av spannmål (utom ris), baljväxter och oljeväxter
01.12;0112;Odling av ris
01.13;0113;Odling av grönsaker och meloner, rotfrukter och stam- eller rotknölar
01.14;0114;Odling av sockerrör
01.15;0115;Odling av tobak
01.16;0116;Odling av fiberväxter
01.19;0119;Odling av andra ett- och tvååriga växter
01.21;0121;Odling av druvor
01.22;0122;Odling av tropiska och subtropiska frukter
01.23;0123;Odling av citrusfrukter
01.24;0124;Odling av kärnfrukter och stenfrukter
01.25;0125;Odling av andra frukter och bär samt nötter
01.26;0126;Odling av oljehaltiga frukter
01.27;0127;Odling av växter för dryckesframställning
01.28;0128;Odling av kryddväxter, drog- och medicinalväxter
01.29;0129;Odling av andra fleråriga växter
01.30;0130;Odling av plantskoleväxter
01.41;0141;Mjölkproduktion och uppfödning av nötkreatur av mjölkras
01.42;0142;Uppfödning av andra nötkreatur och bufflar
01.43;0143;Uppfödning av hästar och andra hästdjur
01.44;0144;Uppfödning av kameler och kameldjur
01.45;0145;Uppfödning av får och getter
01.46;0146;Uppfödning av svin
01.47;0147;Äggproduktion och uppfödning av fjäderfä
01.49;0149;Uppfödning av andra djur
01.50;0150;Blandat jordbruk
01.61;0161;Service till växtodling
01.62;0162;Service till husdjursskötsel
01.63;0163;Bearbetning av skördade växter
01.64;0164;Bearbetning av utsäde
01.70;0170;Jakt och service i anslutning härtill
02.10;0210;Skogsförvaltning och skogsskötsel
02.20;0220;Drivning
02.30;0230;Insamling av annat vilt växande skogsmaterial än trä
02.40;0240;Service till skogsbruk
03.11;0311;Saltvattensfiske
03.12;0312;Sötvattensfiske
03.21;0321;Fiskodling i salvatten
03.22;0322;Fiskodling i sötvatten
05.10;0510;Stenkolsutvinning
05.20;0520;Brunkolsutvinning
06.10;0610;Utvinning av råpetroleum
06.20;0620;Utvinning av naturgas
07.10;0710;Järnmalmsutvinning
07.21;0721;Utvinning av uran- och toriummalm
07.29;0729;Utvinning av annan malm
08.11;0811;Brytning av natursten, kalk- och gipssten, krita och skiffer
08.12;0812;"Utvinning av sand, grus och berg; utvinning av lera och kaolin"
08.91;0891;Brytning av kemiska mineral
08.92;0892;Torvutvinning
08.93;0893;Saltutvinning
08.99;0899;Diverse övrig utvinning av mineral
09.10;0910;Stödtjänster till råpetroleum- och naturgasutvinning
09.90;0990;Stödtjänster till annan utvinning
10.11;1011;Beredning och hållbarhetsbehandling av kreaturskött
10.12;1012;Beredning och hållbarhetsbehandling av fjäderfäkött
10.13;1013;Charkuteri- och annan köttvarutillverkning
10.20;1020;Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur
10.31;1031;Beredning och hållbarhetsbehandling av potatis
10.32;1032;Juice- och safttillverkning
10.39;1039;Annan beredning och hållbarhetsbehandling av frukt, bär och grönsaker
10.41;1041;Framställning av oljor och fetter
10.42;1042;Matfettstillverkning
10.51;1051;Mejerivarutillverkning
10.52;1052;Glasstillverkning
10.61;1061;Tillverkning av kvarnprodukter
10.62;1062;Stärkelsetillverkning
10.71;1071;Tillverkning av mjukt matbröd och färska bakverk
10.72;1072;Tillverkning av knäckebröd, kex och konserverade bakverk
10.73;1073;Tillverkning av pastaprodukter
10.81;1081;Sockertillverkning
10.82;1082;Tillverkning av choklad, choklad- och sockerkonfektyrer
10.83;1083;Framställning av te och kaffe
10.84;1084;Tillverkning av senap, ketchup, kryddor och andra smaksättningsmedel
10.85;1085;Tillverkning av lagad mat och färdigrätter
10.86;1086;Tillverkning av homogeniserade livsmedelspreparat inklusive dietmat
10.89;1089;Framställning av andra livsmedel
10.91;1091;Framställning av beredda fodermedel
10.92;1092;Framställning av mat till sällskapsdjur
11.01;1101;Destillering, rening och tillblandning av spritdrycker
11.02;1102;Framställning av vin från druvor
11.03;1103;Framställning av cider och andra fruktviner
11.04;1104;Framställning av andra icke-destillerade jästa drycker
11.05;1105;Framställning av öl
11.06;1106;Framställning av malt
11.07;1107;Framställning av läskedrycker, mineralvatten och annat vatten på flaska
12.00;1200;Tobaksvarutillverkning
13.10;1310;Garntillverkning
13.20;1320;Vävnadstillverkning
13.30;1330;Blekning, färgning och annan textilberedning
13.91;1391;Tillverkning av trikåväv
13.92;1392;Tillverkning av sydda textilvaror utom beklädnadsvaror
13.93;1393;Tillverkning av mattor
13.94;1394;Tågvirkes- och bindgarnstillverkning
13.95;1395;Tillverkning av bondad duk
13.96;1396;Tillverkning av andra tekniska textilier och industritextilier
13.99;1399;Övrig textilietillverkning
14.11;1411;Tillverkning av läder- och skinnkläder
14.12;1412;Tillverkning av arbets-, skydds- och överdragskläder
14.13;1413;Tillverkning av andra gång- och ytterkläder
14.14;1414;Tillverkning av underkläder, skjortor och blusar
